moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakerHouse.com,CHIHUAHUA,5377575,2022-08-26T20:03:21.818231132Z,chihuahuavaloper1z0yfs3x293jg8e24mnyuq93s8m0strctyakn33,A9B90ADCD79EDE85619CEC2F70E1FFFB6E82CBF0,chihuahuavalcons14xus4hxhnm0g2cvuashhpc0lldhg9jlswljvrg,xxJC6MmXJ6xNqu+ZQmwRHmyGi1thsIpSPDhkJduSNfs=
"Stake Frites (🥩,🍟)",CHIHUAHUA,164539019,1970-01-01T00:00:00Z,chihuahuavaloper1zl4vt84hya03e8hu7dx4q4cvn2ts2xdr685p5g,D76F988434A29FFF1AA1DDE7CD664B508A7D4488,chihuahuavalcons16ahe3pp5520l7x4pmhnu6ejt2z9863yg4snu94,UWBcMShdNAqfFEexYFchkTPE25iLxATedJhaNloYx4k=
Citadel.one,CHIHUAHUA,1595807908,1970-01-01T00:00:00Z,chihuahuavaloper1rgtfvfwx6kpf2vppur8l5g4y2c4acj74xzw6af,DE5DF6A3D73880AAF252107CAA6BBDCA5D1551EC,chihuahuavalcons1mewldg7h8zq24ujjzp7256aaefw3250vdlt5y8,4LtvFN/hWqcGMGNEodP1mwX2m1zXlklwSaAAjh0D9DQ=
StakeArmy,CHIHUAHUA,65173344,2022-11-12T01:35:01.921884367Z,chihuahuavaloper19l7gstn9qd2mp83h2x2fmwx0aeg6sckwvhnl25,09C28854DD3B298D3231230F5BE1D419F3CD1383,chihuahuavalcons1p8pgs4xa8v5c6v33yv84hcw5r8eu6yurt0rueg,lZFb1R7Rtb6+1hWElVqtvUC3hkM2vJB83xAD4JKyyPw=
polkachu.com,CHIHUAHUA,1541694601,1970-01-01T00:00:00Z,chihuahuavaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p40qac2,4009593108CEC2222D4113D2BA812D6D66C7F9A6,chihuahuavalcons1gqy4jvggempzyt2pz0ft4qfdd4nv07dx7ndg0k,MlgkDj+CwfUKLDqUDtMcwye/nHZrDPWAxYx6ahcwfwM=
Stake a Tree 🌲 Planting trees with profits,CHIHUAHUA,133528042,1970-01-01T00:00:00Z,chihuahuavaloper1sz72m22qwxu258p2edgplg7wvhxj0u7mhu3yr5,4E4E7484C47EC75548BDC873E16990812E84D23E,chihuahuavalcons1fe88fpxy0mr42j9aepe7z6vssyhgf537g6ejcv,b1l3Vflkh8jq86UvxtXl89rRSVShWQ9nOOetbNR9mMU=
BlockHunters 🎯,CHIHUAHUA,48533740,1970-01-01T00:00:00Z,chihuahuavaloper1symf474wnypes2d3mecllqk6l26rwz8muyetza,B836D5C20942355A29401E39804A43C799C6B23F,chihuahuavalcons1hqmdtssfgg64522qrcucqjjrc7vudv3l5exgg7,he7LG1wKeVEwB5CEJGYWh/E9jooRe2Vm22szAkIXwYc=
StakeLab,CHIHUAHUA,1581466578,1970-01-01T00:00:00Z,chihuahuavaloper13c2hcctczy695gfs5gc637tc844n6a9unlkaqv,30EB933CF1FEAD4C67A4EB342088E0BAE1ABC9BC,chihuahuavalcons1xr4ex083l6k5ceayav6zpz8qhts6hjdur4xat4,1oboNX+4eDkn9bN4g7/9SKGaMeuFskH13kmOeoL5hiQ=
Stakewolle.com | Auto-compound,CHIHUAHUA,922852842,1970-01-01T00:00:00Z,chihuahuavaloper1ju6mkyxpjsdcmrw0pnx6sd4zu4wywkmhtgnpr5,3EA48C78C0CED2335E5BD0B9B021F83B87A6E85C,chihuahuavalcons186jgc7xqemfrxhjm6zumqg0c8wr6d6zudm8wnz,fxC7/1oTzJIvvKLkFM2a9xDTGDWQFsY48ZtDm/LinAA=
Stakepile. Go underdogs!,CHIHUAHUA,81630007,1970-01-01T00:00:00Z,chihuahuavaloper16pm2xx5egr2areeayddlspt994chz2wsvcuey3,8C9A3F026214A1102EE513FC3A193716D93DEEBF,chihuahuavalcons13jdr7qnzzjs3qth9z07r5xfhzmvnmm4l96h4vm,UAdxgtahI8Iot0u4CYk7UKM0hYp8vmLOqQaQH4c75oo=
StakeThat - autorestake,CHIHUAHUA,65821316,1970-01-01T00:00:00Z,chihuahuavaloper16df4qs7tk523gu2qlcvd505cxcf6n2jkvv0nq3,E0795DABD4C74D47A6800B0ABCFFD566712E5118,chihuahuavalcons1upu4m275cax50f5qpv9tel74vecju5gc6jcdta,HyXuXUSuUUpc/00pJzFdL56TXTPZu07KVAOCTNpG+SU=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Stakecito,COMDEX,4449953,1970-01-01T00:00:00Z,comdexvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5dufl6,A8F469C3A26B8E20164D039B46BE73A92346E377,comdexvalcons14r6xnsazdw8zq9jdqwd5d0nn4y35dcmhpkuqxd,o+A6LUxFuDQpyxHkvMAhc5pqeSG5wF/Itbr05crgQ8E=
AutoStake 🛡️ Slash Protected,COMDEX,1634169,1970-01-01T00:00:00Z,comdexvaloper195re7mhwh9urewm3rvaj9r7vm6j63c4sd78njd,959E058EE0BBE0B3F51A9E0838203F4AA166373E,comdexvalcons1jk0qtrhqh0st8ag6ncyrsgplf2skvde7sjzjwe,njJt7ydfv+ZaiFdEukzmpKHiNyOe7UKpnmUCGWiY5d0=
polkachu.com,COMDEX,1347132,1970-01-01T00:00:00Z,comdexvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p3447dz,D52ED6D9882E46F03DDADBEB7D11477DF6B13937,comdexvalcons165hddkvg9er0q0w6m04h6y280hmtzwfheqmkpt,iQb0mlqiwcrxXoXbQBjJTQYZoH01avLZNxpkp2Fc0L0=
StakePool,COMDEX,254509,1970-01-01T00:00:00Z,comdexvaloper1gg2a6n0whtu589294grn9cs2lf4gjp0zss3f5x,7E16F31514501B351042D6ECBBDA3FADB53744AE,comdexvalcons10ct0x9g52qdn2yzz6mkthk3l4k6nw39wmvlycp,43mA1UIorMwCwL0vHODYdWGJiPZW6dhHXSXR58S9IMY=
StakeLab,COMDEX,1629574,1970-01-01T00:00:00Z,comdexvaloper1gfe4f7urf866xte5cpmkgsw7q2u97qj06ldtj3,703A7D24EB94C2E4961C2A56DCA57349C97164BE,comdexvalcons1wqa86f8tjnpwf9su9ftdeftnf8yhze97vf4cy2,SOSB3UZwdFeSvTUJtV7Ng4v89E1AkCMCUYUCp/TD31U=
Stakin,COMDEX,683762,1970-01-01T00:00:00Z,comdexvaloper1g6zz4d7j6fvxy24nsqkjrcxqrt7hwp6p6hws7c,A83DFCF82FC8D623CE1D3FB638FBC046A8417535,comdexvalcons14q7le7p0ertz8nsa87mr377qg65yzaf4ts982t,9gFox70wqyQOMrz1N1h+TLBpfOqVdE91dbAYf1Stqo8=
Citadel.one,COMDEX,1802031,1970-01-01T00:00:00Z,comdexvaloper1glgnuuckrkcvl90uk0ute8h0y4gdp5u8s0ahnt,30D9E76ABAA89049F4D0A985BC2693937CAEBCC1,comdexvalcons1xrv7w6464zgynaxs4xzmcf5njd72a0xp6lclxd,PNYmZD+mZFzBEWEDoG0XoDW4QcB3Z1tulfXPwVxkkA4=
StakerHouse,COMDEX,269758,2022-04-20T23:49:23.734757466Z,comdexvaloper12q4a5qvuzzn2kspe6dekkhnl77ct52dr5vpwsk,A673C8523355935ABAC2CDAA18F035581E2E1ED2,comdexvalcons15eeus53n2kf44wkzek4p3up4tq0zu8kj4j4cut,Dm7d24zEYa+swXHNIS76XDn3d7t71bgSTSrOT9OcYwQ=
Klub Staking,COMDEX,1841947,1970-01-01T00:00:00Z,comdexvaloper12lmnmx83p5lcndvl0zrks3fqk3wspqm0hjtzzz,A81146BE340A55E8DE0B603F44BA68B710342498,comdexvalcons14qg5d035pf273hstvql5fwngkugrgfycxll3qv,ScghrEAzsF2wlRdgYdauTT3G8OIyyC7h0LAR/9Am0cw=
StakeWithUs,COMDEX,2712554,1970-01-01T00:00:00Z,comdexvaloper1vj0ntz8qk9pxk7xt3n0ukdkt86j3epnva2ag7p,06F5399123CE6B8984B79457813A3C6C05F48BD2,comdexvalcons1qm6nnyfree4cnp9hj3tczw3udszlfz7j9p85pw,c+fvDHYLsXlzd7+shTWjV4jFG4mB0BAOQjEQg3T6F3I=
Stakepile,COMDEX,167739,1970-01-01T00:00:00Z,comdexvaloper1w54selz5rcvzz76hjpdxt2fn9qkja8fzqq6vyw,1E70E15D81D47FE4044F89D23076DEEF07531234,comdexvalcons1recwzhvp63l7gpz038frqak7aur4xy35j8zv95,Nes1AuU4ZHNhO9q6pQiAuLZH0DRSicfmdunFEBYaV9Y=
Staketab,COMDEX,266387,1970-01-01T00:00:00Z,comdexvaloper1s9em43slvq8zk9xxkdfqgve9zxw4sha7hhkqa7,C00BA9FC40089AA06E19FA2158F94FF045D30244,comdexvalcons1cq96nlzqpzd2qmselgs437207pzaxqjymp3km0,ekkgvwZwzZZEOHr24wZFJ4tE6/lBYAxFOv0EWasA6pY=
Stakewolle.com |  Auto-compound,COMDEX,657515,2022-11-11T05:36:30.831696185Z,comdexvaloper15xevj3n6eq36t62sjjrsvf6hkuryg8w3pmpqy8,BF9B76CDEFFEC35313F6C167C06EAA6BA82F8A04,comdexvalcons1h7dhdn00lmp4xylkc9nuqm42dw5zlzsyqm6g34,JaTT1/wmx1A/NvzeXcafZS2AnzlLdIk2tgMYYlYpdTA=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Blockpower,COSMOS HUB,1515036,2021-06-22T14:39:24.397790126Z,cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,CC05882978FC5FDD6A7721687E14C0299AE004B8,cosmosvalcons1eszcs2tcl30a66nhy958u9xq9xdwqp9c65dnm6,fUj2rJ8mWqSdo8FX47dhWni++/oxOSduCBgymD4GCiU=
Staking Facilities,COSMOS HUB,1345930,1970-01-01T00:00:00Z,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,E800740C68C81B30345C3AE2BA638FA56FF67EEF,cosmosvalcons1aqq8grrgeqdnqdzu8t3t5cu054hlvlh062nhqx,vvSJSs7OAESNGSF1CnA+aOcAz/VcRtH4qB2/ZBUp0Lo=
polkachu.com,COSMOS HUB,318208,1970-01-01T00:00:00Z,cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,DF9283DA25B296426E97438614D1C62DC1019D84,cosmosvalcons1m7fg8k39k2tyym5hgwrpf5wx9hqsr8vywuyrtm,wYgizm1MoU4+QMPV0lPlESo/Z5YzDbfna562kOUNU4s=
StakeLab,COSMOS HUB,2512847,1970-01-01T00:00:00Z,cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,170FEFD6D7F4A69AAE70A24415FC4E2C928DE2E5,cosmosvalcons1zu87l4kh7jnf4tns5fzptlzw9jfgmch9q25f5v,N7D/fL/Hgpz1UG5J/wLgo5GXvQM11/lJyCg1BjAqUjY=
Blockapsis,COSMOS HUB,75790,1970-01-01T00:00:00Z,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,60AAACB82FAB9D90CB2DF0AA0CCE4555101ED90C,cosmosvalcons1vz42ewp04wwepjed7z4qenj925gpakgvap4q2u,IGUdZ439/uCgUwGmqOd5QMUKtpI8taUQnpbdcTJdc/Q=
Stakewolle.com | Auto-compound,COSMOS HUB,327258,1970-01-01T00:00:00Z,cosmosvaloper1gf4wlkutql95j7wwsxz490s6fahlvk2s9xpwax,D5EDC934314C89B45952620E9C992B1DC9018442,cosmosvalcons16hkujdp3fjymgk2jvg8fexftrhysrpzzzmrweg,5RNZbutSqesWjKl0UJ7VsXBWyweVxxcWgy9PzD6qVes=
Stakin,COSMOS HUB,220583,1970-01-01T00:00:00Z,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,52E1646134432BF9532B4881C6ED32E40AE5A2DD,cosmosvalcons12tskgcf5gv4lj5etfzqudmfjus9wtgka8znl6y,FyNWogoOiQFRVwtJj8KywlyJpUFhmPzekSkDvrbSTvM=
Klub Staking,COSMOS HUB,138249,1970-01-01T00:00:00Z,cosmosvaloper1wqy2s6nwnxj57l0l5rdjxxr646p3al6y70435m,5D741966C127B6F66C09CC86DC9E4AC2E28263C7,cosmosvalcons1t46pjekpy7m0vmqfejrde8j2ct3gyc78sgr66f,KDfZS95BDOjVAfIb5h8+3/QWnDtygldvMll1oPTy5do=
Genesis Lab,COSMOS HUB,81665,1970-01-01T00:00:00Z,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,2B9A55D3BF93D7375DD207B75C5ED4D2B91D9146,cosmosvalcons19wd9t5alj0tnwhwjq7m4chk562u3my2xwt72qg,g/K/WCk6kfg6kiymEObDD31v6QPRra8JYEFJPd0SOq0=
Staked,COSMOS HUB,1285463,1970-01-01T00:00:00Z,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,7B3A2EFE5B3FCDF819FCF52607314CEFE4754BB6,cosmosvalcons10vazaljm8lxlsx0u75nqwv2valj82jak592py8,11pGwt6bot1EC5xeug8mulFNBBWsHV+X7XrxLUmTNF8=
Staking Fund,COSMOS HUB,70047,1970-01-01T00:00:00Z,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,000AA5ABF590A815EBCBDAE070AFF50BE571EB8B,cosmosvalcons1qq92t2l4jz5pt67tmts8ptl4p0jhr6utx5xa8y,yWPYIfSf5yi/MlBzEZx2yMhOJ/daXRx8Eg3NOso8V7c=
Blockdaemon,COSMOS HUB,376625,2021-09-22T13:36:12.704633616Z,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,6CB47D786B2F350C13A60BB77D398AC82E900985,cosmosvalcons1dj6867rt9u6scyaxpwmh6wv2eqhfqzv9favv9l,3yAYBP6Jfv+iagCf0fRotrGEkUE6tuT+A4AE4LL8vTk=
Bro_n_Bro,COSMOS HUB,73392,1970-01-01T00:00:00Z,cosmosvaloper106yp7zw35wftheyyv9f9pe69t8rteumjrx52jg,B5B32011EC0714DE2AA550E085A8B20036A10E83,cosmosvalcons1kkejqy0vqu2du2492rsgt29jqqm2zr5r2hlv3z,0PoQzviEQrLd/HjlpGJYVm2Rb3LXZkmhuuZ5/pbL16Q=
BlockHunters 🎯,COSMOS HUB,327957,1970-01-01T00:00:00Z,cosmosvaloper1symf474wnypes2d3mecllqk6l26rwz8mfjqdus,37C8A99DC15238D453C0FBEE7C2ACBEDFD27C1E4,cosmosvalcons1xly2n8wp2gudg57ql0h8c2ktah7j0s0yjr7nsn,Z8Bs/NBxshUqUG4gJI0/O6qMn/H/ZoD16Rl0tejctY0=
Blocks United | blocksunited.com,COSMOS HUB,146166,2021-12-15T14:36:40.368878575Z,cosmosvaloper1jmykcq8gylmy5tgqtel4xj4q62fdt49sl584xd,6E2234F881817A7DB997D59400518591F692A14C,cosmosvalcons1dc3rf7yps9a8mwvh6k2qq5v9j8mf9g2vk82hp9,EbpW+vs11yVlXtMEnJBtH+CghPyUcVVbzbTTSmhC4M8=
StakeWithUs,COSMOS HUB,209304,1970-01-01T00:00:00Z,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,1AE0BD432F9A5122474A646325D1AFA6068692E9,cosmosvalcons1rtst6se0nfgjy362v33jt5d05crgdyhfvvvvay,pk7vL9YoXJy5A3EOyesIvZ5qlxc2qsW99Kk/VzobkgY=
Chorus One,COSMOS HUB,3530744,1970-01-01T00:00:00Z,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,31920F9BC3A39B66876CC7D6D5E589E10393BF0E,cosmosvalcons1xxfqlx7r5wdkdpmvcltdtevfuype80cwmrrtae,lh/p8UTp1kF8+4noOeInUG3PuWpFzk6Mnopj0updt4I=
StakeSeeker by BTCS,COSMOS HUB,93335,1970-01-01T00:00:00Z,cosmosvaloper1kyfce0nvluyhgfsdzz8hwrsf5336gsc95pyy4u,78A0BDAA6925BA19436CDF2A18FCE337C8C54520,cosmosvalcons10zstm2nfykapjsmvmu4p3l8rxlyv23fqjjlcy6,5jmurYd0trU/LO3bml9mblRfCGhR8j4TjfYK2ZsjouY=
Stakecito,COSMOS HUB,1004827,1970-01-01T00:00:00Z,cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,E070FA4F050BAF7EA2761C52A6A5715780681939,cosmosvalcons1upc05nc9pwhhagnkr3f2dft327qxsxfeyvajsu,t9l8HjwxL8WVwanxbZTOv7YNeUIp5EnMwg2xaVgi8I0=
Stakely.io,COSMOS HUB,169792,1970-01-01T00:00:00Z,cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,BDB046259EB7FB74A28015E31E64CEE9F0802199,cosmosvalcons1hkcyvfv7klahfg5qzh33uexwa8cgqgvekug2dy,WAeQesC3BNtVnZwJKie5DAOjD3Kljg82b5c7j/TB+l0=
Citadel.one,COSMOS HUB,2774213,1970-01-01T00:00:00Z,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,4EB1282675F724B59026F2173C23F0DC9936F118,cosmosvalcons1f6cjsfn47ujttypx7gtncglsmjvndugc2zelqx,5qKdBzdr8XHw2BWR/8yEceFRWEjGpzsqBo6q0OVkf9g=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Blockscope.net,CRESCENT,14635,1970-01-01T00:00:00Z,crevaloper1rcrvkz6zydr9srhk57w4jdny8w26hfjju45twa,96AC1D468907D04577D8113AF03C42C7A8663B61,crevalcons1j6kp635fqlgy2a7czya0q0zzc75xvwmpazgvyq,nybQ4eEGXb4U0/lCad84O7FUJp/4xaeqYdlEYi8/Umw=
Klub Staking,CRESCENT,68029,1970-01-01T00:00:00Z,crevaloper1ye8mvp8z4zskj98vfr95sawg7wtpsp027np6df,164A528AB1F9FCB1D5BF051A31027009233CB354,crevalcons1ze999z43l87tr4dlq5drzqnspy3nev65hrrt0t,IPfRORG3HEMTIoZjlcPlyW9EfSaESqysXCImoz4lGKo=
StakeLab,CRESCENT,132819,1970-01-01T00:00:00Z,crevaloper19mt7qa5pralxre8j9v0wae2kvncv8qcghv0chf,E0FDE0660C62ABB3F05F30D28113EBD0E85C88C3,crevalcons1ur77qesvv24m8uzlxrfgzylt6r59ezxrez48l5,2tlozgWA5/Xb+whfWJA+cZdD0vnqmlV2LXuV3CxML/I=
JustLuck,CRESCENT,7679,1970-01-01T00:00:00Z,crevaloper18n53tdxmvwkwsejsm8hddeqxs8sgcd4nza66lt,AA6E9F4B2B5C2D36C5A8DDF1D377F150A0DD4779,crevalcons14fhf7jettsknd3dgmhcaxal32zsd63mes4reca,D1SZRlEHH7MHpMlrnSCkMtR1hiClDHRu/cLZ+0WnnNA=
polkachu.com,CRESCENT,78125,1970-01-01T00:00:00Z,crevaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pr37yjn,A38343D6430B53CD2971D2F34FEA90F2568A32CC,crevalcons15wp584jrpdfu62t36te5l65s7ftg5vkvwy0g65,gxA5TOrO9L6/gl6knrik4Nu62cH/mKLbJVZVZOICIXA=
AutoStake 🛡️ Slash Protected,CRESCENT,37698,1970-01-01T00:00:00Z,crevaloper1gkf73mx4zv3ggrf4kuc3v8jm5yv4s0jtrqzkvd,812F75758B0D8819AFBFCDF0B1820F1B9C9A037D,crevalcons1syhh2avtpkypntalehctrqs0rwwf5qmag3d8s9,ps1zG+IeFGTsA2OOqUmsgirVDIM1Z2sklRkPv12KrFo=
Citadel.one,CRESCENT,64509,1970-01-01T00:00:00Z,crevaloper1fdvy6rl6yz44hagtmah25g4vvxd76gh5t8mu8e,5E98F59B6B3C756E59F35907A55ACB2720401158,crevalcons1t6v0txmt836kuk0ntyr62kktyusyqy2c762q2v,28/+0eHw229xvQtB4HPH6+E2NDqwNMEntY/FxrTNAiI=
Stakin,CRESCENT,10387,1970-01-01T00:00:00Z,crevaloper126nxgyruw03fyr3rmxg76squcy08pjtm9zkl5d,96DDF22BC6DCC7CB3A53CFC84F93A9200D2277A4,crevalcons1jmwly27xmnrukwjnelyylyafyqxjyaayaqup6u,0l55qk2VDKne4aK0M4ZROUEodGCfi+Xi8S502F7DTT8=
Oldcat,CRESCENT,8235,1970-01-01T00:00:00Z,crevaloper1djsyrsd0csgy2qz8a4xwxmy57xl06u0gn4r42f,20C8B0550A3A0A5ED6AC66688AC3DBEF0162E407,crevalcons1yrytq4g28g99a44vve5g4s7mauqk9eq8zm5wmj,GmgD+yAO4xnluxW54BCK+z7uc35AoWDc74wMUo3wNo4=
Stakely.io,CRESCENT,20707,1970-01-01T00:00:00Z,crevaloper1wr0l9tnw3rsmk9tyqr707tta40f7qh2m7ueyq8,C2EF15A336F77A203B99CE2EE088E4D9FBBFC20E,crevalcons1cth3tgek7aazqwueechwpz8ym8amlssw6g6d07,fhRSy62O8vzC6yANm0OBguXgmkYQ8+iLtzUsR0xcCCk=
BlockHunters 🎯,CRESCENT,27819,1970-01-01T00:00:00Z,crevaloper1symf474wnypes2d3mecllqk6l26rwz8m268jgy,76B87A4A2311FC5E18A4F0C1222481A66C68BA51,crevalcons1w6u85j3rz879ux9y7rqjyfyp5ekx3wj3wd4f2g,Gdr618XLZOyWoojPXBgpXA/DSlbBQ07QcV+SF+fGDPQ=
Bro_n_Bro,CRESCENT,14311,1970-01-01T00:00:00Z,crevaloper1c96vvme4k42zlvkc56fslmdpa2qj6u80xvqwau,F9C46C746C0988A4C8ADEE8193CE09B92108CBE4,crevalcons1l8zxcarvpxy2fj9da6qe8nsfhyss3jlymne6gq,sfo4aa6I9ZdOrpKC0GEldvobiw2B5JImL0VKYUMCzhw=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakeBowlNode,CRYPTO.ORG,600008560,1970-01-01T00:00:00Z,crocncl1xhlv433ze84cs9aw8khf5muh3n9a78qmaq03a7,FBCA2CB5B59CAF36ABD33EE6CADDD9463504C637,crocnclcons1l09zedd4njhnd27n8mnv4hwegc6sf33h66atvl,XYgWBWw6cSC8GODCrFAxe1wDXXQlx5Kj5N2L+UiwGAw=
Stakin,CRYPTO.ORG,425106958,1970-01-01T00:00:00Z,crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h,5714915F131F2FDA0E5162F7AACAF761064F8370,crocnclcons12u2fzhcnruha5rj3vtm64jhhvyrylqms44k8jw,V+dqofv+tLwEnEke9CfAxeF0KdZ2LXChW5MNU/L7yFI=
Stakely.io,CRYPTO.ORG,446886226,2022-01-13T10:37:10.197225855Z,crocncl1tkev46yqrjzrjzrqtty30ex68eja2zcltyq2vj,C1313A56893E2EF2229AC502CB92B50C696FA45D,crocnclcons1cycn545f8ch0yg56c5pvhy44p35klfza8gxd0s,Hn3f5ZWFb0xljW7Uq+OFcR3EiHJOsaMlgs30DHFxi0U=
StakePool,CRYPTO.ORG,704917812,2022-05-17T02:33:19.001735595Z,crocncl1jxrep9wsepfd09e24qmwq3gu6e85w23892yv9f,27E022A365FF4FF86EAE096A4096982BDC382A1F,crocnclcons1ylsz9gm9la8lsm4wp94yp95c90wrs2slmut603,EN0cTwYeZus6ypRMbnuRW8UPTlJoICTEpWrBAdRA81s=
Blockdaemon,CRYPTO.ORG,364020350,2022-08-26T08:05:28.116578402Z,crocncl1cwvkulh93vv3jv7larahd4646cnpf384hu4sjf,F34E8932E89E4ECF52B9311C997F386899BB0093,crocnclcons17d8gjvhgne8v754exywfjlecdzvmkqyn5jlmu3,gtNK1dLhvHUIx2nuP2fpar3YmmB2z9q9vqjnIkZw6Pc=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Stake.Works | Desmos,DESMOS,,2022-10-03T18:52:43.736190720Z,desmosvaloper1zp0w52ejsr6zfx8cjx0vcvs8m6ddu93v84asg9,,desmosvalcons1ln3n6v4r5wvxt9x2gjf7g9xawcf9s950sx8ns2,lhnD0h1PbkAbCc6A3bDc2RJn6iSp4Tw+L6zmQGboK3w=
Stakewolle.com |  Auto-compound,DESMOS,,2022-11-11T14:58:33.481773724Z,desmosvaloper1zngdx77g9ywnwmwpwvj9w2eqcs6fhw78gn02d8,,desmosvalcons1kft2gt6e2r6cz4k4xucchhphjlrs75hyk79yue,uPxDMX2b39EhaPzenECQqEgTElVj99aff5NxvukvMIc=
BlockUniverse,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1rh2qeyg5z4ddm8erf7preu3yp72g2zvzjqhgx9,,desmosvalcons1ynxqgmelez8ksuwx84p5nfzd55sq88afyyhpvt,l6KqlrKK+blNoyluwMnKYUqDa4NLBuY87WrVQWvHUh8=
StakeCraft,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1tnyhte3fa4qjsu57qmrkyss776v8rset4mmyks,,desmosvalcons1ccdk99sg8lvecwn3nmpw7m3knnnaq4p76e69gc,BkyFrwGedrbTcPomBnWmcsIIEaQ7lN14vP1ZM4hKpnE=
Oldcat,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1d6xe3ldswgaurszrp3emspvhspvu7hxm4ty8mv,,desmosvalcons1yvdx8ssw8j452d5ythkf07nmm3upmsjdnfhqp4,saz+teO7sqje6Fn4OagPOWToSDifKZ8zb5mh35xwc6Q=
Bro_n_Bro,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1sykf8q94l8q8mqstf64ptuvp74ueyehxpgcq76,,desmosvalcons17hxqgr6t7rly0nd0ujkpp0kjju0p60zgtcf7cg,TtzNj2YB1VlByq2h63TeUeWyxR6EXIr4J3Ujp0T7fcM=
Stakely.io,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1s5gnmccngltteh6ugtsz7fdrykc294tnw2e7pz,,desmosvalcons1n55d4f9g59d6duafn0qsgewfqx7qv9lr9shj2k,adoDSxsT/7ViIpwz8Gxo9Pj6oCv2hzJCPhDcF/7KO8c=
StakeAngle,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper13utsw9fzz3nh7hyq4lv9kut25dcs0z6pdfydc3,,desmosvalcons18h740rwkelp0hcfykfzxz3rer5lfp87e8ncqr5,UbzCK2j43Bf4dp2uQSXOKGJj1BJSandrlOFO6nQ0lhU=
Stakin,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1567u3n4q6j0zm5mkgtqu9t7eq4g5pr5se74mr9,,desmosvalcons1lrj8437q8aszaa0x6hxa27ms64ap8n3umtjr67,V1dyHokJcax6jCvGqYMdqjKutbXCNJw5z+rV8LxpIvM=
StakeLab,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1lzzctd3a839xxk7vf4cwuhcvgcnmxrhrx7d92e,,desmosvalcons1jr845x8cwzmwzccpkhjzamw538exmuf4wwyt6r,5RbqK7zorjbmRbDzfdJP5bV8IgOVy67nowCzCb6CqhQ=
Staketab,DESMOS,,1970-01-01T00:00:00Z,desmosvaloper1lrny98cc59kwqwlsgwry67ck0hjvre2jke3x42,,desmosvalcons172jy4npdsh55vk96cx5drlmruteqn9ny6rhz5r,XEB3ZUMM/sb4dIBSoyi5DvGrQBO0ogQSHh9Df/+tDnc=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakeCraft,EMONEY,528620337345,2021-03-07T07:57:31.120410837Z,emoneyvaloper1q2kc675fw536jq74f6ekwae2pr5pksued2k80s,689240A3EA8826D0DB7F13AF26219085223B18B0,emoneyvalcons1dzfypgl23qndpkmlzwhjvgvss53rkx9sllrvmd,DTIrNQkCoXH3jx6caRs2Y1Em0N37oJSz34NNH77uFqI=
