moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Staking4All,ASSETMANTLE,3741645,1970-01-01T00:00:00Z,mantlevaloper1h2y7uaprkns6snfkgpa93ccxejq7ln0ww0sw8w,D3C2F3916581CA3F799C8347644DC57EC61D9E98,mantlevalcons160p08yt9s89r77vusdrkgnw90mrpm85ct6jmfm,ZucTWqoWwwJAIjmGkaP5zbBbn9zBONbONxhoolHBymQ=
StakeLab,ASSETMANTLE,8697115,1970-01-01T00:00:00Z,mantlevaloper1uy0q4859hw5f90peraexmdanyrt8tazz7vheg9,725CD7BD92A6E2817225D6CD16BF29AD50C541A7,mantlevalcons1wfwd00vj5m3gzu396mx3d0ef44gv2sd8x47l46,KNt4mgmQpnZpFtbRS4YlDhtL1B6izSIBqnTQfdPbnko=
StakerHouse,ASSETMANTLE,3424851,1970-01-01T00:00:00Z,mantlevaloper1uac4u9c60tj97fx3lvscefe0m3t3fmrrlv3vzl,47118A61E1E0176C015A211BA3B8940EC2A28C4D,mantlevalcons1gugc5c0puqtkcq26yyd68wy5pmp29rzd8caxzf,XMb42VQVQBN7V1b6+iZ4YC2iNFWA5mcqj+tvnD6f9Uo=
BlockwaveLabs,ASSETMANTLE,300317,1970-01-01T00:00:00Z,mantlevaloper17q802krsnxmntnt8ufhhq2trx27rf9fnkynx7e,00B64BDE0B7DE9B167D9A11B6543CA36AC379BED,mantlevalcons1qzmyhhst0h5mze7e5ydk2s72x6kr0xldpx9k8a,B/HfKvUB0cXQ1NfX65XhvutdC7IlXM/Yabh43xSetus=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakeLab,AXELAR,243532,1970-01-01T00:00:00Z,axelarvaloper19dx6vywgr62jtsxhhlhlgh7ug5vmgjnz6dkeud,4338C4CDE85BFCF4F04E2ECBCBF7007DD93185FA,axelarvalcons1gvuvfn0gt070fuzw9m9uhacq0hvnrp065x3f4q,JsWxQe4ZMwuwW/bV4lV44wcMLB1Z56g+2tYRcImFZnQ=
Staketab,AXELAR,3662178,1970-01-01T00:00:00Z,axelarvaloper1xtawcxuvh3vtt6zht9pku3ltc0a76u209jl63x,779E0D0690544828BAE8756036154E1C4659605A,axelarvalcons1w70q6p5s23yz3whgw4srv92wr3r9jcz6ugpp45,eBEZZajJetv3OINHoB8lB7DAL3yu37hrfptrn4rQkFM=
StakeRun,AXELAR,9361253,1970-01-01T00:00:00Z,axelarvaloper18qydpumkn244ska4xw8890nc67l9e5qqm7c36r,3197C8328BCF200D00AC28909BEB99BAE57F7263,axelarvalcons1xxtusv5teusq6q9v9zgfh6uehtjh7unryl4w2z,47UVCv8deTs3FbespvrnzCX3JddXCb/xyZdnj+fBDK8=
polkachu.com,AXELAR,2033753,1970-01-01T00:00:00Z,axelarvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4ppzdrn6,8C5872749B2182B1832D3EAE57EDFAC01104B240,axelarvalcons133v8yaymyxptrqed86h90m06cqgsfvjqaynwn8,P7MErEbohL6y+zMrkbXu5X9QzQD70NB4N1CpAZhT7wQ=
Chorus One,AXELAR,11015948,1970-01-01T00:00:00Z,axelarvaloper16pj5gljqnqs0ajxakccfjhu05yczp987zac7km,0B7EA0F411F506695D41F188343B3FB5F4CF789C,axelarvalcons1pdl2paq375rxjh2p7xyrgwelkh6v77yuddvufj,V3uRk9EP59UWM7Kub5iFhDEc+zwt2wKtxyZRV54Uz2Q=
Stakin,AXELAR,8828783,1970-01-01T00:00:00Z,axelarvaloper1uf7s2v44qqpe9lpnsjy6cfjueqytakuzayfg0h,3F9F551064F148AF6615C892C8E9E76262A9ED61,axelarvalcons187042yry79y27es4ezfv3608vf32nmtp09vzj3,6OdBxSLRjpBYp9B0edMQDNVWubVq3wcRc5F4jVloOwk=
Citadel.one,AXELAR,7908798,1970-01-01T00:00:00Z,axelarvaloper17q4fqv86dxkes384tnmrvjr9ljp2slunr6k00w,7EC661F40BEFD355FEF828AF6462E574F4759D0B,axelarvalcons10mrxraqtalf4tlhc9zhkgch9wn68t8gt9f6xa8,qULeagl7UPpWjb/BN2xjiOJkINEQPlaBzHXTtvRC3bc=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
AutoStake 🛡️ Slash Protected,BAND,134966,2020-10-22T11:05:34.940659726Z,bandvaloper1xs2penspev206jj0egh5qu7qmr6mjzfgj299xl,2EC52C841BAD26455531A11822C685E9CB874A5A,bandvalcons19mzjepqm45ny24f35yvz9359a89cwjj68sc6wa,Audw0HEWOMCvLHru+Acv7Kd+0x4ARr6LMXeTVCtafnOs
StakeSabai,BAND,43729,2021-07-14T15:54:20.990288543Z,bandvaloper1vnsqgwu7jxd49u99etdzt028kkgwvuvz5x6lty,C60FEE921E855EFF72F88CCB0D80BC4BDB4764CE,bandvalcons1cc87ays7s4007uhc3n9smq9uf0d5wexweh25yz,A/0cIMj+9DkRzedzovaVXNlyvtFFfe0J31CoUw96KYXM
Citadel.one,BAND,248633,1970-01-01T00:00:00Z,bandvaloper10grrhfawl98ypn5x25zmqcp8f20eg9sw56v3e0,C9472A06129A1758916786D857B37D9E92920899,bandvalcons1e9rj5psjngt43yt8smv90vman6ffyzyes6xr2y,A3IBaFzcVOWUoFPO5nONoIk7i+PkRUjWfTXY4Vd/vRmt
StakeLab,BAND,14381,1970-01-01T00:00:00Z,bandvaloper10s7t8prp0nz36g4dug5ftkm8elyg9hdtlpn6uv,5DFA5563A74946C3BAD13F0685FE4C12CD1C5D98,bandvalcons1tha92ca8f9rv8wk38urgtljvztx3chvcd6w5ga,A0a2AyFNzgwVPs2UoLQlq927DfpycjXnNfVCySxSp4rx
Chorus One,BAND,2534940,2021-09-25T10:45:00.738043134Z,bandvaloper15urq2dtp9qce4fyc85m6upwm9xul3049fz627w,ABC2A975BE4B0958B1494C83F306D78F624F794C,bandvalcons140p2jad7fvy43v2ffjplxpkh3a3y772v7ec84a,A+zSvgcKyhxK4yT5kZWb37JljO6YkftgVE1qdn2ANKu+
Stakewolle.com | Auto-compound,BAND,113690,1970-01-01T00:00:00Z,bandvaloper1hcu2spr3r80v36us40mg938f5qhaqq2qeajtfv,324D7180BD87854B8068470CCDCB6B18EED16DF4,bandvalcons1xfxhrq9as7z5hqrgguxvmjmtrrhdzm05d5uktd,AhU/mkKsronu1QdQq4GcpW5SplCnTRJV+afUAjt8cOm2
StakeWith.Us,BAND,2594420,1970-01-01T00:00:00Z,bandvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvn4hl7n,C0AEBCA1BE3985A5A78724F4CB148D735162F972,bandvalcons1czhtegd78xz6tfu8yn6vk9ydwdgk97tjlgpj60,ArZiBAdyvZNkcrzEIuO3N8KgCrQxNc0BUjufVpM8kyk/
StakeCraft,BAND,153099,1970-01-01T00:00:00Z,bandvaloper1unfg2zhnssl07tql8d85zc6rx7zsfs5qh206av,62158B3741221783112A619D1F3296B422643432,bandvalcons1vg2ckd6pygtcxyf2vxw37v5kks3xgdpjqzqt8f,An4H3cSFA2D78laYYnwc395fswgTdBFnb6VuPOquYLbd
StakeProof.xyz,BAND,1218,1970-01-01T00:00:00Z,bandvaloper17fjwhmuvgh8lugky0kgz0ejzrt5zplp83zq0l7,AC4440637BBB62E4177CE0DC25EAFC30461321A5,bandvalcons143zyqcmmhd3wg9muurwzt6huxprpxgd9uu5h2j,A3h6LHU8PwHrqElJ2KJkgGlG9Ig5fCNUHakKnd2WE7ia
Genesis Lab,BAND,100,1970-01-01T00:00:00Z,bandvaloper17s35yz3rglx7pnjppm4u9l9ht2k9mr9tq0eyh6,7C0CAB42A47237DF7E075862A11333620131E02E,bandvalcons10sx2ks4ywgma7ls8tp32zyenvgqnrcpwzlf9jd,AxxMaWQMqowUiHHX6r+TQzRJpCZrbkDjRbzDFUrvEPwx
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakeBrothers,BITCANNA,9644745,1970-01-01T00:00:00Z,bcnavaloper1z597yn3p332rzf2yks7sgw70kl0pjdqkgm77qt,B432B9C6E722F33EEC827079BF3385218EDAF49F,bcnavalcons1ksetn3h8ytenamyzwpum7vu9yx8d4aylzfcyt5,gIH38l3pL1F1L6ZwazXdIr7M+NuSY7eRi4pHHx17Ji8=
StakeLab,BITCANNA,4004942,2022-05-09T17:53:50.264886643Z,bcnavaloper1r7up4azsnmprakycclqrh60phvq6zptq8lx8qk,CFEB6E0F6E740CA53A5175954CECEFD33328326F,bcnavalcons1el4kurmwwsx22wj3wk25em806vejsvn0pfqw9n,GMXHuZDz96iPbS+nTV3/UhcIFRSltwmpfYLvTyf6jF4=
StakePool,BITCANNA,1049114,1970-01-01T00:00:00Z,bcnavaloper19cqgl632n54hk8flkpaxnjd0ya7fnr49djukyx,8686F16932831832544622A975F3F25542AB40BD,bcnavalcons1s6r0z6fjsvvry4zxy25htulj24p2ks9aqgxszx,Gw5UnEYV7eQmKCFZOG49JKp8CaY7M9aO5gpQK8O2C64=
