chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
CERBERUS,13,1114357934208093,1970-01-01T00:00:00Z,Citadel.one,cerberusvaloper16rzknyz8xwcvt5eaw7g0kh0fv2rsa4naeqmugz,09453B93077413DC0BAEC6F0E6873E086750C6C3
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
CHIHUAHUA,7,1541693297248412,1970-01-01T00:00:00Z,polkachu.com,chihuahuavaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p40qac2,4009593108CEC2222D4113D2BA812D6D66C7F9A6
CHIHUAHUA,170,5857200000,1970-01-01T00:00:00Z,Oldcat,chihuahuavaloper1jgf82ekcw0w7kvtv6mnjfyy9hlq6d2grdyu7x0,96A83FC20D4BF69F36660B4D7B7D27433257F326
CHIHUAHUA,115,48533740730694,1970-01-01T00:00:00Z,BlockHunters 🎯,chihuahuavaloper1symf474wnypes2d3mecllqk6l26rwz8muyetza,B836D5C20942355A29401E39804A43C799C6B23F
CHIHUAHUA,5,1595807908044772,1970-01-01T00:00:00Z,Citadel.one,chihuahuavaloper1rgtfvfwx6kpf2vppur8l5g4y2c4acj74xzw6af,DE5DF6A3D73880AAF252107CAA6BBDCA5D1551EC
CHIHUAHUA,6,1581466578455105,1970-01-01T00:00:00Z,StakeLab,chihuahuavaloper13c2hcctczy695gfs5gc637tc844n6a9unlkaqv,30EB933CF1FEAD4C67A4EB342088E0BAE1ABC9BC
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
COMDEX,22,1629574606598,1970-01-01T00:00:00Z,StakeLab,comdexvaloper1gfe4f7urf866xte5cpmkgsw7q2u97qj06ldtj3,703A7D24EB94C2E4961C2A56DCA57349C97164BE
COMDEX,21,1634169818856,1970-01-01T00:00:00Z,AutoStake 🛡️ Slash Protected,comdexvaloper195re7mhwh9urewm3rvaj9r7vm6j63c4sd78njd,959E058EE0BBE0B3F51A9E0838203F4AA166373E
COMDEX,38,1347132604769,1970-01-01T00:00:00Z,polkachu.com,comdexvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p3447dz,D52ED6D9882E46F03DDADBEB7D11477DF6B13937
COMDEX,16,1802031638458,1970-01-01T00:00:00Z,Citadel.one,comdexvaloper1glgnuuckrkcvl90uk0ute8h0y4gdp5u8s0ahnt,30D9E76ABAA89049F4D0A985BC2693937CAEBCC1
COMDEX,15,1841947949931,1970-01-01T00:00:00Z,Klub Staking,comdexvaloper12lmnmx83p5lcndvl0zrks3fqk3wspqm0hjtzzz,A81146BE340A55E8DE0B603F44BA68B710342498
COMDEX,8,2712554718074,1970-01-01T00:00:00Z,StakeWithUs,comdexvaloper1vj0ntz8qk9pxk7xt3n0ukdkt86j3epnva2ag7p,06F5399123CE6B8984B79457813A3C6C05F48BD2
COMDEX,52,683762229745,1970-01-01T00:00:00Z,Stakin,comdexvaloper1g6zz4d7j6fvxy24nsqkjrcxqrt7hwp6p6hws7c,A83DFCF82FC8D623CE1D3FB638FBC046A8417535
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
COSMOS HUB,95,220583516493,1970-01-01T00:00:00Z,Stakin,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,52E1646134432BF9532B4881C6ED32E40AE5A2DD
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
CRESCENT,46,8235379525,1970-01-01T00:00:00Z,Oldcat,crevaloper1djsyrsd0csgy2qz8a4xwxmy57xl06u0gn4r42f,20C8B0550A3A0A5ED6AC66688AC3DBEF0162E407
CRESCENT,14,132819591329,1970-01-01T00:00:00Z,StakeLab,crevaloper19mt7qa5pralxre8j9v0wae2kvncv8qcghv0chf,E0FDE0660C62ABB3F05F30D28113EBD0E85C88C3
CRESCENT,55,1373001000,1970-01-01T00:00:00Z,Genesis Lab,crevaloper17zw2jx6jjfah60pycklvqfnm3qaxd7kqzafglc,548D0B5BC7E22480817C6A4F6826B4E8272647AC
CRESCENT,18,68029360340,1970-01-01T00:00:00Z,Klub Staking,crevaloper1ye8mvp8z4zskj98vfr95sawg7wtpsp027np6df,164A528AB1F9FCB1D5BF051A31027009233CB354
CRESCENT,27,27819591509,1970-01-01T00:00:00Z,BlockHunters 🎯,crevaloper1symf474wnypes2d3mecllqk6l26rwz8m268jgy,76B87A4A2311FC5E18A4F0C1222481A66C68BA51
CRESCENT,43,10387199529,1970-01-01T00:00:00Z,Stakin,crevaloper126nxgyruw03fyr3rmxg76squcy08pjtm9zkl5d,96DDF22BC6DCC7CB3A53CFC84F93A9200D2277A4
CRESCENT,38,14311273101,1970-01-01T00:00:00Z,Bro_n_Bro,crevaloper1c96vvme4k42zlvkc56fslmdpa2qj6u80xvqwau,F9C46C746C0988A4C8ADEE8193CE09B92108CBE4
CRESCENT,48,7679691823,1970-01-01T00:00:00Z,JustLuck,crevaloper18n53tdxmvwkwsejsm8hddeqxs8sgcd4nza66lt,AA6E9F4B2B5C2D36C5A8DDF1D377F150A0DD4779
CRESCENT,30,20707701769,1970-01-01T00:00:00Z,Stakely.io,crevaloper1wr0l9tnw3rsmk9tyqr707tta40f7qh2m7ueyq8,C2EF15A336F77A203B99CE2EE088E4D9FBBFC20E
CRESCENT,24,37698886571,1970-01-01T00:00:00Z,AutoStake 🛡️ Slash Protected,crevaloper1gkf73mx4zv3ggrf4kuc3v8jm5yv4s0jtrqzkvd,812F75758B0D8819AFBFCDF0B1820F1B9C9A037D
CRESCENT,17,78125782865,1970-01-01T00:00:00Z,polkachu.com,crevaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pr37yjn,A38343D6430B53CD2971D2F34FEA90F2568A32CC
CRESCENT,19,64509182961,1970-01-01T00:00:00Z,Citadel.one,crevaloper1fdvy6rl6yz44hagtmah25g4vvxd76gh5t8mu8e,5E98F59B6B3C756E59F35907A55ACB2720401158
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
CRYPTO.ORG,113,11054599907609,9999-12-31T23:59:59Z,StakeWithMeisSORRY - 0%,crocncl1wfnh55nu7xz7lnt6670ad4ff8a7jucg0xch735,3CFC935DC6B4596289FE215E9A9B81C4520B7FE8
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
