chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
AKASH,OmniFlix Networ,akashvalcons188vw2c7p4ufg2z2l7klwxulzxhtr6r9ww6vnsk,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,DLINODES.COM,akashvalcons183f95npe9fc5ln4z9kfgxaqvxctsen7r0k20cl,3676117,1256780,2022-07-30T09:24:55.060456635Z,False,0
AKASH,[ block pane ],akashvalcons183c043u9wwyms6tfd68nu86ghc97qfpfd7te80,7835121,659911,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons18e99qjd3z0gkd4hq2xsn47q8hxm4lf8rymnrky,0,1118337,1970-01-01T00:00:00Z,False,0
AKASH,notional,akashvalcons18ekue0c4mu83gg5rdzfn8dyerjquppqzjq950j,2261327,6229629,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1877dwn78vza7tcywdqy3pse5mk9ft5qcffaj7h,69797,2,2022-08-04T01:36:10.653989410Z,False,2
AKASH,,akashvalcons1gz9e3qh258nrd02gnxp5pw47q9fs2rxrg3gcd0,0,8562824,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1g9mcj40ktyph0kmsmlgvsn42ej64ynnwdsg7ma,4199371,2880378,1970-01-01T00:00:00Z,False,0
AKASH,Bi23,akashvalcons1gxvynz7zcgq98ed24fxwnjm78wfm36z7y6pftz,0,10773570,1970-01-01T00:00:00Z,False,1
AKASH,Passage,akashvalcons1g06vp8ufu8nqw32t7nkrp5uuxe4um7lg7du5xt,8314217,180815,1970-01-01T00:00:00Z,False,1
AKASH,OurLink | Valid,akashvalcons1g3gs2r7xxscd9rld623h7wapvdfu0es2ceq4p2,0,10713425,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1g6cz2z3eyv02c6a0qw0npvuac6hv7kps4rkqf7,4249703,532607,1970-01-01T00:00:00Z,False,4598
AKASH,,akashvalcons1gmwdr0ed96g9vudyrs2862ugzhma97gc6d2jfv,3142000,320257,1970-01-01T00:00:00Z,False,152
AKASH,,akashvalcons1g76q4dkkftd46zvdtlttq7mekura83nafrrjty,0,2,2022-11-08T14:44:20.449920882Z,False,2
AKASH,,akashvalcons1f8q9z05s0f5c7njyedgmyn70jt70tdtr20hf65,4134567,4460,1970-01-01T00:00:00Z,False,4460
AKASH,,akashvalcons1fg99j96td9cu58uhwsdlte70nsplfrld07x9jw,4131091,2,2022-01-03T07:03:36.484867488Z,False,2
AKASH,Cypher Core,akashvalcons12fzl28htsuc3up2ypphxfhmwwda05q2jqslr7q,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,Praetor App,akashvalcons12dkyesw0jlzd76fm8elxvp9lpv20gft7wznhs3,5937040,2557992,1970-01-01T00:00:00Z,False,1
AKASH,Stakin,akashvalcons12lmpjk0l3gy9v2as4wjfy8z77xes0hrrey2gh0,1591908,6903124,1970-01-01T00:00:00Z,False,0
AKASH,Kalia Network,akashvalcons1tzhlnmp8tfnw0tggd5c7xr79ncptjjuj707cm6,7641415,853617,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1tzuly5tah7x924ele75c20llyurxmphdjv6eve,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1tyeuczldx2z76hfldxnxxrehahqk5lp3qtew06,0,2,2022-01-02T10:43:50.681812761Z,False,2
AKASH,polkachu.com,akashvalcons1txp4mjakeeulr5ftseczap5suh6u2989ecffry,4147903,4034957,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1t5r5jqsa5qz7qhc94n3gduddj6epjxxrgytveh,0,2,2021-09-13T06:25:25.930553884Z,False,2
AKASH,,akashvalcons1thnje0uza7fwzpp0p4w4939ffw3kdt0ur5nk5e,2308138,578294,2022-09-30T17:17:08.867056339Z,False,1
AKASH,,akashvalcons1teqgnjpkegakcq092l5ur6r7ajvsq3ruxr9ssh,0,411457,2021-07-19T20:14:25.825468270Z,False,46
AKASH,StakeLab,akashvalcons1tet2tkf449ffhzveuy53ce9shglel4nrr2c2tt,3261355,4808817,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1vxx2qc2v065g2fplxkq8jpcgj7d70029q6wvft,4121090,43033,1970-01-01T00:00:00Z,False,5716
AKASH,,akashvalcons1vf5r5aj82w0xr5qpsehdk8ahz5hp77trh9uw58,2664249,2174965,2022-06-09T22:56:31.237047332Z,False,0
AKASH,,akashvalcons1d565vu7mydtxs0rl43sewe5tudkg8k4lnr5g3d,0,8484419,2021-03-09T10:10:59.562500193Z,False,1
AKASH,,akashvalcons1d40lc2mc6v0su59zhh79kfv93ma256hcg39732,5029121,3465911,1970-01-01T00:00:00Z,False,0
AKASH,StakeSeeker by,akashvalcons1du367zvf32fn2guje5yh002muhr5aacfv8t82k,6912044,65990,2022-11-10T08:03:15.322988265Z,False,1
AKASH,,akashvalcons1wqhjzm7jge8xfkwy32hdp62c04ktk5mfxsqnvs,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,NosNode,akashvalcons1wtujl46hyap3r9x8z2d7ysg6jzf7d4tu4ens5f,4141979,4335558,2022-01-04T11:47:59.905961969Z,False,968
AKASH,,akashvalcons1wujd20ysdw36m6kf89ckgjx43xygpnmy9tr33c,0,2,2022-07-24T03:11:19.770201270Z,False,2
AKASH,Ping,akashvalcons10pxdqwunt37rua2pnv0ntv5ruql65lqvn7t468,0,4636108,2021-12-08T00:15:48.338503551Z,False,0
AKASH,,akashvalcons109ddgxajwn3rhrvzkv45lpuvxrlhdulw28wk5n,1873007,6622025,1970-01-01T00:00:00Z,False,2
AKASH,WeStaking,akashvalcons108h63djuk8c656fh8tfaq86y9h8ulyupzypu4g,0,10778058,1970-01-01T00:00:00Z,False,1
AKASH,ECO Stake,akashvalcons100v9kz3se7hpswheqzm9hs8vpg5qv0yemcsg6r,2018281,6476751,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1040fj3f3y9tr8stcax530jw4xzz7mkcc0m0g7d,1594428,19199,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1sykuf0t8zawzcjn55yayc6vsleqsx7jmxxd3yq,0,9837382,2020-12-02T03:04:16.466789327Z,False,11
AKASH,,akashvalcons1sfd7cslfv6u644qjsw65pdz6l5qu7hgydzfc4m,1591908,5685,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1s2f3j9w309hakmmjx76cv9mkywm5lu9yf4jeze,0,4112479,2021-09-13T02:10:07.435112927Z,False,27
AKASH,Sikka,akashvalcons1svehl2xz5kl39qa9swzvpn8wpqger8s2c0cyf7,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1sws92607k0qz0kclt6zufqrn66v5qs8wg7r47l,5639152,96240,1970-01-01T00:00:00Z,False,1
AKASH,EZStaking.io,akashvalcons1s0hpmv7acvgjhy0w34hx2tx4amecc3hqyvl3al,4189355,4296143,1970-01-01T00:00:00Z,False,0
AKASH,chainvibes,akashvalcons1sjm4sr5h0u0aq3yvfjats2naxuvnvl2hh6q27q,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1s5f4c9fqr8a0ts9rj2jfe69lp0f030a6qmguh9,4139027,259901,1970-01-01T00:00:00Z,False,11
AKASH,,akashvalcons1shj2xzc072583s44edl2jgtuaahxsgc07gpr3f,940427,6458756,1970-01-01T00:00:00Z,False,3
AKASH,NewroadNetwork,akashvalcons1shlpd5hsnyjrjsjsl2vc98m4rwq8mg5j5e9nr6,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1scr56le0s3ndfg6lk7zldh3xakvy24pvvswatk,0,721632,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons13y3gyugxllve60wfjv9snzu0qgaceesntta78a,4147391,45309,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons13xpqdx9v24059yhdeqtw9zj7fkluen7wmdflrh,5709827,18667,1970-01-01T00:00:00Z,False,18
AKASH,,akashvalcons13xxl0wa3ch4c4z37eds304nzwkazxsanrq3ktd,0,8229985,2021-03-27T13:50:43.077353503Z,False,0
AKASH,,akashvalcons1385jtn98s9jx0v629thez2fdzw9sknf2h9jqlz,3798527,3052432,2022-04-11T16:10:54.613621395Z,False,1
AKASH,,akashvalcons130wen8l482wp5993lt8wfkcftmm5pmdltpka0e,0,2,2022-01-02T12:00:24.971082128Z,False,2
AKASH,,akashvalcons1340zcs446tuasgpl9flfzua4xky4y4m28909l2,0,2854797,2022-04-28T01:21:29.230013256Z,False,116
chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
ASSETMANTLE,BlockwaveLabs,mantlevalcons1qzmyhhst0h5mze7e5ydk2s72x6kr0xldpx9k8a,2621942,471074,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1qyal4zh7g6f77qc2fs7xtvs7zeadj6xj75ywqa,970,1747,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,web3validator,mantlevalcons1qxv3ak0xa04x833m5jhacde6t4qppdkkg96gly,2659775,430389,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Citadel.one,mantlevalcons1qgperx9kh5ah0n283ta4trc07k3m8uua7cn7nz,0,3093017,1970-01-01T00:00:00Z,False,0
